,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,AC,rain,snow,sun,distance_miles,consumed_per_100m,MPG,consumption_rate
177,14.1,5.3,47,21.0,-3,E10,,,0,0,0,0,8.7613311,1.4001116,6.257594823155525,37.5886524822695
178,58.7,4.8,75,21.0,0,E10,,,0,0,0,0,36.4744777,1.2680256,28.76478022210277,8.17717206132879
179,16.2,5.2,29,21.0,0,E10,,,0,0,0,0,10.0662102,1.3736944000000002,7.327838127606838,32.098765432098766
180,12.3,4.9,50,22.5,0,E10,,,0,0,0,0,7.6428633,1.2944428000000001,5.904365414987823,39.83739837398374
181,12.3,7.1,52,22.5,0,E10,,,1,0,1,0,7.6428633,1.8756212,4.074843737104272,57.72357723577235
182,12.4,5.2,51,22.5,1,E10,,,0,0,0,0,7.7050004,1.3736944000000002,5.608962517427456,41.935483870967744
183,31.8,4.7,59,22.5,3,E10,,,0,0,0,0,19.7595978,1.2416084,15.91451684766308,14.779874213836477
184,12.3,5.1,55,22.5,8,E10,,,0,0,0,0,7.6428633,1.3472772,5.672821673223595,41.46341463414633
185,51.6,5.0,73,22.5,12,E10,,,0,0,0,0,32.062743600000005,1.3208600000000001,24.27414230122799,9.689922480620154
186,38.6,4.6,44,22.5,10,E10,,,0,0,0,0,23.984920600000002,1.2151912,19.737569363570113,11.917098445595855
187,12.3,4.8,41,22.5,7,E10,,,0,0,0,0,7.6428633,1.2680256,6.02737302780007,39.02439024390244
188,81.2,4.4,69,22.0,13,E10,,,0,0,0,0,50.455325200000004,1.1623568000000002,43.40777737094152,5.41871921182266
189,130.3,4.6,85,22.0,12,E10,,,0,0,0,0,80.96464130000001,1.2151912,66.627080001896,3.530314658480429
190,67.2,4.3,67,22.0,18,E10,,,0,0,0,0,41.7561312,1.1359396,36.759112192232756,6.398809523809524
191,43.7,4.7,44,22.0,9,SP98,10.0,SP98,0,1,0,1,27.153912700000003,1.2416084,21.869949252920648,10.755148741418765
